ranges, angle_increment, stamp, 
inf,6.05259033292532,1805882000000,
inf,6.0700833685696125,1805882000000,
inf,6.087576404213905,1805882000000,
inf,6.105069439858198,1805882000000,
inf,6.122562475502491,1805882000000,
inf,6.140055511146784,1805882000000,
2.381577968597412,6.157548546791077,1805882000000,
inf,6.1750415824353695,1805882000000,
inf,6.192534618079662,1805882000000,
inf,6.210027653723955,1805882000000,
3.290611743927002,6.227520689368248,1805882000000,
3.1096529960632324,6.245013725012541,1805882000000,
3.127932071685791,6.262506760656834,1805882000000,
3.1493945121765137,6.2799997963011265,1805882000000,
inf,0.0,1806081000000,
inf,0.01749303564429283,1806081000000,
inf,0.03498607128858566,1806081000000,
inf,0.052479106932878494,1806081000000,
2.1876919269561768,0.06997214257717133,1806081000000,
inf,0.08746517822146416,1806081000000,
inf,0.10495821386575699,1806081000000,
inf,0.12245124951004982,1806081000000,
3.1981005668640137,0.13994428515434265,1806081000000,
2.9068357944488525,0.15743732079863548,1806081000000,
2.9202053546905518,0.17493035644292831,1806081000000,
2.9109561443328857,0.19242339208722115,1806081000000,
inf,0.20991642773151398,1806081000000,
inf,0.2274094633758068,1806081000000,
1.9398506879806519,0.24490249902009964,1806081000000,
1.846718192100525,0.26239553466439247,1806081000000,
1.7236937284469604,0.2798885703086853,1806081000000,
1.6375691890716553,0.29738160595297813,1806081000000,
1.5389903783798218,0.31487464159727097,1806081000000,
1.4915413856506348,0.3323676772415638,1806081000000,
1.3987059593200684,0.34986071288585663,1806081000000,
1.3528742790222168,0.36735374853014946,1806081000000,
1.310141682624817,0.3848467841744423,1806081000000,
1.2691726684570312,0.4023398198187351,1806081000000,
1.1958699226379395,0.41983285546302795,1806081000000,
1.1600902080535889,0.4373258911073208,1806081000000,
1.113847255706787,0.4548189267516136,1806081000000,
1.0844740867614746,0.47231196239590645,1806081000000,
1.0458921194076538,0.4898049980401993,1806081000000,
1.0228291749954224,0.5072980336844921,1806081000000,
0.9701173901557922,0.5247910693287849,1806081000000,
0.9488622546195984,0.5422841049730778,1806081000000,
0.9359093308448792,0.5597771406173706,1806081000000,
0.9228712320327759,0.5772701762616634,1806081000000,
0.8984383940696716,0.5947632119059563,1806081000000,
0.8941624164581299,0.6122562475502491,1806081000000,
0.8587143421173096,0.6297492831945419,1806081000000,
0.8270379900932312,0.6472423188388348,1806081000000,
0.8112930059432983,0.6647353544831276,1806081000000,
0.8027244210243225,0.6822283901274204,1806081000000,
0.7667686939239502,0.6997214257717133,1806081000000,
0.7921186089515686,0.7172144614160061,1806081000000,
0.7455487847328186,0.7347074970602989,1806081000000,
0.7318003177642822,0.7522005327045918,1806081000000,
0.7137942910194397,0.7696935683488846,1806081000000,
0.7329489588737488,0.7871866039931774,1806081000000,
0.7005214691162109,0.8046796396374702,1806081000000,
0.6986158490180969,0.8221726752817631,1806081000000,
0.6583632230758667,0.8396657109260559,1806081000000,
0.6759777069091797,0.8571587465703487,1806081000000,
0.6691794991493225,0.8746517822146416,1806081000000,
0.6633440256118774,0.8921448178589344,1806081000000,
0.6656256318092346,0.9096378535032272,1806081000000,
0.627042293548584,0.9271308891475201,1806081000000,
0.6385611891746521,0.9446239247918129,1806081000000,
0.6463088393211365,0.9621169604361057,1806081000000,
0.6258859634399414,0.9796099960803986,1806081000000,
0.5934998393058777,0.9971030317246914,1806081000000,
0.6070337891578674,1.0145960673689842,1806081000000,
0.5952848792076111,1.032089103013277,1806081000000,
0.5949901938438416,1.0495821386575699,1806081000000,
0.5778099298477173,1.0670751743018627,1806081000000,
0.5789409279823303,1.0845682099461555,1806081000000,
0.5748599767684937,1.1020612455904484,1806081000000,
0.5962678790092468,1.1195542812347412,1806081000000,
0.5787541270256042,1.137047316879034,1806081000000,
0.5727041959762573,1.1545403525233269,1806081000000,
0.5571907162666321,1.1720333881676197,1806081000000,
0.5516535043716431,1.1895264238119125,1806081000000,
0.5442922115325928,1.2070194594562054,1806081000000,
0.5421155095100403,1.2245124951004982,1806081000000,
0.5464141964912415,1.242005530744791,1806081000000,
