x, y, quat_z, quat_w, th, stamp, 
-4.865891933441162,1.769040822982788,-0.9999148845672607,0.012635868042707443,-3.116320111526407,1728046709445970078,
-4.865891933441162,1.769040822982788,-0.999914824962616,0.01263586524873972,-3.1163201156075977,1728046709496136000,
-4.865891933441162,1.769040822982788,-0.999914824962616,0.012635864317417145,-3.116320117470104,1728046709556270055,
-4.865891933441162,1.769040822982788,-0.999914824962616,0.012635981664061546,-3.1163198827942997,1728046709605987091,
-4.865891933441162,1.769040822982788,-0.999914824962616,0.012635980732738972,-3.1163198846568063,1728046709655998838,
-4.865891933441162,1.769040822982788,-0.999914824962616,0.012635977007448673,-3.116319892106832,1728046709696928007,
-4.865891933441162,1.769040822982788,-0.999914824962616,0.0126359723508358,-3.1163199014193634,1728046709746961108,
-4.865890979766846,1.7690396308898926,-0.9999148845672607,0.01262973714619875,-3.1163323724061627,1728046709796053987,
-4.86722469329834,1.7689683437347412,-0.9999195337295532,0.012187701649963856,-3.117216495826079,1728046709845975847,
-4.871594429016113,1.7689441442489624,-0.9999210238456726,0.011930307373404503,-3.117731286490975,1728046709896137264,
-4.880068778991699,1.768647313117981,-0.9999210834503174,0.012141184881329536,-3.1173095607135366,1728046709956494309,
-4.8896894454956055,1.7686243057250977,-0.9999319314956665,0.011168109253048897,-3.119255843348033,1728046710006022735,
-4.900885105133057,1.7683533430099487,-0.9999325275421143,0.011224285699427128,-3.1191435102727008,1728046710056002899,
-4.911818504333496,1.768080472946167,-0.9999325275421143,0.011239527724683285,-3.119113028011247,1728046710096945696,
-4.92751407623291,1.767807960510254,-0.9999291300773621,0.011558339931070805,-3.1184753648965775,1728046710147049873,
-4.945437431335449,1.7673364877700806,-0.9999308586120605,0.011410311795771122,-3.118771442546299,1728046710195991897,
-4.96555233001709,1.7664239406585693,-0.9999308586120605,0.011410311795771122,-3.118771442546299,1728046710246088634,
-4.9875712394714355,1.7658988237380981,-0.9999308586120605,0.011410311795771122,-3.118771442546299,1728046710295983092,
-5.014774322509766,1.7651891708374023,-0.9999344944953918,0.011015374213457108,-3.1195613531023856,1728046710356601881,
-5.037277698516846,1.764385461807251,-0.9999262094497681,0.011644057929515839,-3.1183038718077416,1728046710406290178,
-5.059678077697754,1.7637784481048584,-0.9999164342880249,0.012327739968895912,-3.1169363623168285,1728046710456052081,
-5.07783317565918,1.7633156776428223,-0.9999102354049683,0.01277261320501566,-3.1160465233015557,1728046710495965166,
-5.099959850311279,1.7625316381454468,-0.9999074935913086,0.012988082133233547,-3.115615547039011,1728046710546218761,
-5.12244176864624,1.762067198753357,-0.9999045729637146,0.01326094288378954,-3.115069791604357,1728046710596015263,
-5.145057201385498,1.7614121437072754,-0.9999127388000488,0.012654059566557407,-3.1162836768937154,1728046710645989942,
-5.167199611663818,1.7607403993606567,-0.9999127388000488,0.012654059566557407,-3.1162836768937154,1728046710695997942,
-5.185339450836182,1.7602301836013794,-0.9999033808708191,0.01341246534138918,-3.11476673969784,1728046710736882581,
-5.216608047485352,1.7592791318893433,-0.9999033808708191,0.01341246534138918,-3.11476673969784,1728046710807045783,
-5.238712787628174,1.7586535215377808,-0.9999033808708191,0.01341246534138918,-3.11476673969784,1728046710856034389,
-5.256426811218262,1.7581696510314941,-0.9999033808708191,0.01341246534138918,-3.11476673969784,1728046710897011513,
-5.2789530754089355,1.757596731185913,-0.9999022483825684,0.013461004011332989,-3.1146696400171034,1728046710946270357,
-5.301467418670654,1.7568939924240112,-0.9998912215232849,0.014243929646909237,-3.113103622116622,1728046710996715356,
-5.323706150054932,1.756225347518921,-0.9998802542686462,0.015069538727402687,-3.1114522486234004,1728046711046812660,
-5.346131324768066,1.7557700872421265,-0.9998802542686462,0.015069538727402687,-3.1114522486234004,1728046711096894066,
-5.36374568939209,1.7552125453948975,-0.9998980760574341,0.01383686251938343,-3.113917874111263,1728046711137791273,
-5.394948482513428,1.7544959783554077,-0.999858558177948,0.013172304257750511,-3.11524584248657,1728046711206074147,
-5.414494037628174,1.7539362907409668,-0.9998335838317871,0.013585373759269714,-3.1144190558824776,1728046711251138824,
-5.436824798583984,1.753098487854004,-0.9998759031295776,0.013894720003008842,-3.113801553405072,1728046711302338446,
-5.458940029144287,1.752423644065857,-0.9998937845230103,0.0139340590685606,-3.1137233790834657,1728046711349496035,
-5.47899866104126,1.751670002937317,-0.9998829960823059,0.01448097638785839,-3.1126293366392743,1728046711392527630,
-5.500514507293701,1.751036286354065,-0.9998750686645508,0.015274643898010254,-3.1110419251779624,1728046711441090059,
-5.524576663970947,1.7502360343933105,-0.9998780488967896,0.014940766617655754,-3.111709699789902,1728046711496523746,
-5.542769432067871,1.7495816946029663,-0.9998723864555359,0.015413982793688774,-3.110763195502093,1728046711536903187,
-5.5743937492370605,1.7486205101013184,-0.9998655915260315,0.015879640355706215,-3.1098317737656425,1728046711606195191,
-5.596521377563477,1.7480233907699585,-0.999878466129303,0.015214426442980766,-3.1111624505259026,1728046711657029068,
-5.614694118499756,1.7474689483642578,-0.999878466129303,0.015214426442980766,-3.1111624505259026,1728046711695963596,
-5.63676643371582,1.7468092441558838,-0.9998824596405029,0.015034572221338749,-3.1115222404786627,1728046711746992822,
-5.6594462394714355,1.7460277080535889,-0.9998779892921448,0.015209347940981388,-3.1111725919088706,1728046711795971745,
-5.681610107421875,1.7451525926589966,-0.9998773336410522,0.015206428244709969,-3.1111784107227627,1728046711846094297,
-5.703975677490234,1.7443890571594238,-0.9998773336410522,0.015206428244709969,-3.1111784107227627,1728046711896771116,
-5.730906009674072,1.7434842586517334,-0.9998708367347717,0.015472757630050182,-3.1106456109081906,1728046711956133384,
-5.753170013427734,1.7425131797790527,-0.9998624324798584,0.016061164438724518,-3.1094686679304693,1728046712006241190,
-5.7756452560424805,1.7418313026428223,-0.9998592138290405,0.016280431300401688,-3.10903008376072,1728046712056040242,
-5.793613910675049,1.741015076637268,-0.9998533725738525,0.016570961102843285,-3.10844890554617,1728046712095963828,
-5.815805912017822,1.7402011156082153,-0.9998485445976257,0.016768913716077805,-3.108052890374015,1728046712145999649,
-5.838327407836914,1.7394205331802368,-0.9998485445976257,0.016768913716077805,-3.108052890374015,1728046712196098549,
-5.860577583312988,1.7385808229446411,-0.9998583793640137,0.0162397138774395,-3.1091114814357383,1728046712246103687,
-5.882916450500488,1.7376348972320557,-0.9998583793640137,0.0162397138774395,-3.1091114814357383,1728046712297231324,
