e, e_dot, e_int, stamp, 
-0.006235776463398679, -0.0010860715465928668, -0.0012445794822081716, 1731684431315284926, 
-0.007368414919738164, -0.005319821901686635, -0.001240308437692584, 1731684431411316250, 
-0.007138730751793165, -0.003009847627981621, -0.0013236789318302577, 1731684431506725494, 
-0.00597985005911017, 0.0046285495354266475, -0.001420216481271995, 1731684431619284734, 
-0.005690317534485789, 0.004828044057691254, -0.0013072973571420015, 1731684431715238082, 
-0.005720040292950923, 0.0008660325538641563, -0.0011185106309701393, 1731684431812239983, 
-0.005738733998003731, -0.00016138821172647275, -0.0011932150995549646, 1731684431923974809, 
-0.005494231428532448, 0.0007526962147282509, -0.0011822893333715485, 1731684432021457632, 
-0.005597707919698713, 0.0004700869276833923, -0.0010730690048164392, 1731684432115245054, 
-0.0058117821089136434, -0.0010585022679373186, -0.001075251948093051, 1731684432212288737, 
-0.006038845509814372, -0.001470458633718863, -0.0011161977090855457, 1731684432307159814, 
-0.006300679422678979, -0.0016296577125511174, -0.0012583111474639619, 1731684432420259074, 
-0.006337907705716628, -0.0009968739863408516, -0.0012956459377524076, 1731684432515268599, 
-0.005411150015439681, 0.002965098024130993, -0.0011492737895298316, 1731684432611276890, 
-0.00520643190468606, 0.003771586003435227, -0.001084426392791299, 1731684432707140332, 
-0.004928655096504642, 0.0016083163964501306, -0.0010836481244907473, 1731684432820391441, 
-0.004351220478065354, 0.002850704755402352, -0.001004880735198191, 1731684432915243205, 
-0.003861954647727206, 0.003555668162591452, -0.0008361322840529376, 1731684433011262637, 
-0.002947874268577788, 0.004677820698291886, -0.0007757793975583973, 1731684433123766446, 
-0.002825893800374679, 0.003453536157841756, -0.0006702178904251066, 1731684433219929255, 
-0.0029068021473190875, 0.00013690707086233544, -0.0005540682303324635, 1731684433315252103, 
-0.003099738800138585, -0.0009128166658796862, -0.0005633825531991888, 1731684433411286192, 
-0.0031517370917795162, -0.0008164498148680958, -0.0005906206416249818, 1731684433508723181, 
-0.0039037996957800303, -0.002680202985471484, -0.0007079623198062477, 1731684433620427435, 
-0.004233656991493806, -0.0036063996657142994, -0.0007773200003037065, 1731684433715288862, 
-0.004573845233800444, -0.0022334851267347133, -0.0008085715378320848, 1731684433811258762, 
-0.0047167140180119915, -0.0016101900883939517, -0.0008715778757759263, 1731684433908626027, 
-0.0039697489922772, 0.002013654138410814, -0.0009246015615567683, 1731684434020439773, 
-0.0036133121166521676, 0.00367800633786608, -0.0008470983047585835, 1731684434115239147, 
-0.0035372750766473615, 0.0014415797187661283, -0.0007110388142690461, 1731684434212260992, 
-0.0033185685191909897, 0.0009824786582039262, -0.0006742400694820007, 1731684434308446724, 
-0.002942976421879351, 0.001980995515893369, -0.0006762934281006444, 1731684434419314523, 
-0.0025513032421771165, 0.0025575509233795777, -0.0006076548390262825, 1731684434515299773, 
-0.0015309814288628765, 0.0047066499767215815, -0.00045191636125474786, 1731684434612296544, 
-0.0014621476195064709, 0.0036305187422354854, -0.0003540895886887215, 1731684434706891754, 
-0.0018765467884169773, -0.0011518845318470028, -0.00033598711354750543, 1731684434819283903, 
-0.003336016690322907, -0.006246230236054788, -0.00046367398250781675, 1731684434915293575, 
-0.0036525681877712657, -0.005920071331180961, -0.0005702976316417867, 1731684435012275159, 
-0.003992920720702564, -0.002189680101265523, -0.0007021835454023588, 1731684435107120699, 
-0.004761019347597095, -0.003694837199419432, -0.0008562305603426692, 1731684435219319045, 
-0.005298641728718412, -0.004352403360052826, -0.0009845367153904607, 1731684435317303439, 
-0.0055470285485168525, -0.002620030669732524, -0.0010038383047394621, 1731684435412282126, 
-0.005770289760633762, -0.0015721601063845014, -0.0010504791714543611, 1731684435506966721, 
-0.006003073503933809, -0.0015201498513898553, -0.001200938170171794, 1731684435620292115, 
-0.006351301008631349, -0.001936704159991957, -0.0012646372848692626, 1731684435716289873, 
-0.006951240156996885, -0.0031605555102102536, -0.0012367596332680264, 1731684435812478635, 
-0.006893807415812692, -0.0018083546906044745, -0.0012871807710958408, 1731684435907489896, 
-0.006048913833832437, 0.0030077544105481615, -0.001378322810924649, 1731684436020329065, 
-0.006283449296577981, 0.0020345270641157023, -0.001334201265034109, 1731684436115675077, 
-0.00521293263088074, 0.002786604009838989, -0.0011216368078720454, 1731684436212113260, 
-0.0012063350886069024, 0.016923714026570263, -0.0008833833853923225, 1731684436324303684, 
0.0001364673905448477, 0.01783133340475196, -0.0004338973049410285, 1731684436419296657, 
0.001672483771906208, 0.009596062868377034, 3.835737263157368e-05, 1731684436515257963, 
0.006283329297708917, 0.0204895396905469, 0.0005206882508051846, 1731684436612328122, 
0.010310895694183753, 0.028794706407591814, 0.0011724604414092633, 1731684436707814891, 
0.011869793239734694, 0.018621546473419254, 0.001963970586480394, 1731684436819323203, 
0.013226778728017141, 0.009719610112777962, 0.0024491913671616824, 1731684436915329706, 
0.012417810858265543, 0.0018267253951028313, 0.002413515554745531, 1731684437012330421, 
0.004853136518630841, -0.027912140697954335, 0.0019641104394156166, 1731684437108535301, 
-0.006156057528249992, -0.06191289462171845, 0.0007711020151001112, 1731684437220457184, 
-0.019727436583281133, -0.0819352436730399, -0.0014573250645595194, 1731684437316424072, 
-0.031063267338135248, -0.08302403269961751, -0.0036416966482783635, 1731684437412304616, 
-0.0400139609049317, -0.06762174773883523, -0.0058070986391203375, 1731684437508278708, 
-0.049838724602249584, -0.06258485754704779, -0.008363578993997084, 1731684437619810213, 
-0.058516657988061827, -0.06167565694376709, -0.010257216686358341, 1731684437715677685, 
-0.060551428671501206, -0.035709013564172075, -0.010915366602374766, 1731684437813681020, 
-0.040540000856924774, 0.05992219043712351, -0.010228485937777691, 1731684437907932716, 
-0.009509596886906557, 0.17013943928198216, -0.007618793954212272, 1731684438020337166, 
0.007366155865185409, 0.1596871890737006, -0.0029554790999469648, 1731684438115658169, 
0.02908011921139586, 0.1286323869943414, 0.0017261667888863708, 1731684438212584344, 
0.04081419804383435, 0.1114934739288298, 0.004952336784947357, 1731684438307955857, 
0.0530920622175266, 0.08003981002043581, 0.008525147181803274, 1731684438420537791, 
0.06476424956717697, 0.07983350507780873, 0.011028458893431728, 1731684438516472088, 
0.07732674372360648, 0.08078227168693293, 0.012545843782546426, 1731684438613369752, 
0.08662001544413389, 0.07285255292318975, 0.01462780797463438, 1731684438708344898, 
